id,mass,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,1.0,-1.9753478028464568,5.289557960342599,2.794115019259776,9.384485372474245e-08,-1.2912994119834885e-07,-9.140620462407841e-08
1,1.0,1.9129687031194054,0.8685674098914322,1.853297688785538,4.378698688442361e-07,2.2759876661871826e-07,-4.926658641731009e-07
2,1.0,-0.07950783098230452,1.0521100829173438,2.634535293279675,-5.172433668220978e-07,2.607524670761658e-07,-3.108379975489488e-07
3,1.0,-2.0138726319486215,-2.2036370123061273,-0.7011504436601703,1.0341153675456663e-07,3.024944099095705e-07,-5.434385718571702e-07
4,1.0,-1.6124472099945695,-5.497562758288109,-0.1337878434509126,-2.4127516559799423e-08,2.011006886709101e-07,3.47387152810384e-08
5,1.0,1.9960399948438374,-1.4682829099720573,1.4584237909390068,4.81096083765903e-07,-2.1700756076879098e-07,-5.795009238851899e-07
6,1.0,-0.6196546701618418,-1.2986956559009848,-0.4395615032461568,-9.225814770211093e-07,-1.7238975945028335e-07,-1.234307694201304e-07
7,1.0,0.8241596065299359,-1.6444253163670564,-1.4750343979119211,-5.102506205593447e-07,-7.154834670869104e-07,-7.482684639618405e-08
8,1.0,1.909587182388882,-2.4039085448479103,2.7049245400783692,5.019227203189176e-07,-2.156043843115581e-08,-1.200812826727692e-07
9,1.0,-13.01019686532382,0.03061701496622888,-0.04857911095176892,-6.289667773711296e-07,-1.2638863500040597e-11,-5.952762020853501e-08
10,1.0,-0.762708934649144,0.3334481357964673,-4.053675845550309,-1.7779833862021414e-07,5.074437293692285e-07,7.168439935786099e-08
11,1.0,-0.42179012176894937,-2.0083189958768086,-0.22548010956789027,-7.789340287373669e-08,2.2186865490465057e-07,-2.817172448367049e-07
12,1.0,-0.614259168710752,1.9566347881628885,-0.6550677262572449,-3.4488139525939683e-07,2.26273207830446e-07,-6.082090069264379e-07
13,1.0,3.338777488324462,-3.5374025325193346,-1.624230254056802,2.9392649581235423e-07,-4.260998496695691e-08,-4.3436094350537703e-07
14,1.0,-0.4455991780315378,-7.314959582681694,-3.505426816698299,4.9270413325153906e-08,-5.33694681717408e-07,2.2016930677683005e-10
15,1.0,-0.7425326880390613,0.3902353832069831,-0.9875807411356758,-1.2845643289080764e-07,3.0248680631543863e-07,-2.901579716970211e-07
16,1.0,-1.498491148450728,-0.06482829687482376,1.8859406207087162,7.896636242576125e-07,-4.488775984085793e-07,3.058848606898992e-08
17,1.0,15.585713806815297,3.2421495798507873,-4.078391123586477,4.104219700564307e-07,9.236621602582832e-08,9.596594214020983e-08
18,1.0,-4.363978283680004,-0.6502359626020282,-1.4849733881864497,1.3103969254711773e-07,3.6866480712805575e-07,-6.063479526233857e-07
19,1.0,-5.703811376082552,18.306139090212525,17.514561089612858,-2.312812633636515e-07,7.582644730078213e-08,1.5642208394459742e-08
20,1.0,3.3075740828013975,1.1193829211013466,1.0251289950625402,8.193720087382154e-07,-3.5297974550904145e-07,1.1884931018891441e-07
21,1.0,-0.41584270504946397,0.06800500469811097,0.6180043071352064,1.9537950209338593e-07,1.8947033407544206e-07,6.578724828028554e-07
22,1.0,-0.13552794807499993,-2.639126917721344,-6.1667996679291,1.3345411152366412e-08,-7.940767459310923e-07,5.50931965344548e-08
23,1.0,-0.9693117513057954,-16.42279863748622,8.75850966155997,-3.0887744514099535e-07,9.270969063455239e-08,-1.5288137733723323e-08
24,1.0,-0.9258453639991528,1.135152599648855,0.0672905047168454,3.878721233976122e-07,-2.682435884760583e-07,4.3224337876297386e-07
25,1.0,-0.19383544621236515,0.7279088657590133,-0.18704360340047593,6.382687275994716e-07,5.804967773604936e-08,1.162155095598081e-06
26,1.0,-0.4763862927164727,0.6735035893970736,2.3564195762154387,3.9154057089434696e-07,-5.189992215513135e-07,-5.219243796625019e-07
27,1.0,-0.4095376254721711,-2.1153980908309773,-5.0316790789525365,-3.325235483866157e-07,1.1167239403936774e-07,-7.737629612874721e-08
28,1.0,2.498445070366695,-0.5167098110405577,4.27849677464869,-2.546056762203161e-07,-6.312914900856341e-07,-3.689220308725457e-07
29,1.0,4.951756321834107,1.512453827947257,-0.0007336171529178925,-2.3362569652589818e-07,-3.810074535916383e-07,-3.6353953410896977e-07
30,1.0,0.48689302088185343,0.5327731053271907,0.3520480772043974,2.3159517617755683e-07,4.127935753456624e-07,7.115435120177666e-08
31,1.0,-0.6762832494946996,0.3534273729333155,1.1619996263246437,-5.041063269973291e-07,-3.117185114941442e-07,-4.309979867891595e-07
32,1.0,-0.02767866653434717,2.238989844732963,-1.8117248987074308,1.9229166192851768e-07,1.3476400718114906e-07,4.663443743200676e-07
