"name","H","epoch","e","a","i","om","w","class","albedo","diameter","ma"
Ceres,3.34,2460600.5,0.0792,2.767,10.59,80.25,73.29,MBA,0.090,939.4,145.85
Pallas,4.11,2460600.5,0.2304,2.77,34.92,172.91,310.89,MBA,0.155,513,126.07
Juno,5.18,2460600.5,0.2561,2.67,12.99,169.84,247.82,MBA,0.214,246.596,127.33
Vesta,3.25,2460600.5,0.0900,2.361,7.14,103.70,151.68,MBA,0.4228,525.4,278.02
Astraea,6.99,2460600.5,0.1873,2.576,5.36,141.46,359.26,MBA,0.274,106.699,38.64
Hebe,5.61,2460600.5,0.2024,2.426,14.73,138.62,239.65,MBA,0.2679,185.18,248.27
Iris,5.64,2460600.5,0.2299,2.386,5.52,259.50,145.52,MBA,0.2766,199.83,314.76
Flora,6.61,2460600.5,0.1566,2.201,5.89,110.85,285.43,MBA,0.226,147.491,78.15
Metis,6.34,2460600.5,0.1228,2.386,5.58,68.87,5.77,MBA,0.118,190,92.38
Hygiea,5.64,2460600.5,0.1104,3.141,3.83,283.15,312.63,MBA,0.0717,407.12,145.94
Parthenope,6.73,2460600.5,0.0994,2.453,4.63,125.51,196.07,MBA,0.191,142.887,71.50
Victoria,7.30,2460600.5,0.2201,2.334,8.37,235.36,69.55,MBA,0.163,115.087,326.36
Egeria,6.91,2460600.5,0.0854,2.578,16.53,43.21,79.22,MBA,0.049,202.636,305.55
Irene,6.54,2460600.5,0.1630,2.59,9.13,86.01,98.05,MBA,0.159,152,278.47
Eunomia,5.41,2460600.5,0.1876,2.644,11.76,292.89,98.77,MBA,0.248,231.689,21.75
Psyche,6.21,2460600.5,0.1341,2.922,3.10,150.02,229.59,MBA,0.1203,222,321.87
Thetis,7.93,2460600.5,0.1322,2.471,5.59,125.53,135.69,MBA,0.193,84.899,91.44
Melpomene,6.35,2460600.5,0.2183,2.295,10.13,150.34,228.05,MBA,0.181,139.594,113.87
Fortuna,7.50,2460600.5,0.1575,2.442,1.57,211.04,182.67,MBA,0.037,200,353.08
Massalia,6.54,2460600.5,0.1437,2.408,0.71,205.98,257.46,MBA,0.241,135.680,284.31
Lutetia,7.51,2460600.5,0.1647,2.434,3.06,80.84,250.03,MBA,0.2212,95.76,142.87
Kalliope,6.80,2460600.5,0.0989,2.911,13.70,65.97,358.00,MBA,0.166,167.536,231.49
Thalia,7.17,2460600.5,0.2311,2.629,10.11,66.49,61.59,MBA,0.2536,107.53,77.78
Themis,7.25,2460600.5,0.1153,3.143,0.74,36.39,108.96,MBA,0.067,198,346.13
Phocaea,7.87,2460600.5,0.2542,2.4,21.61,214.09,90.20,MBA,0.350,61.054,343.19
